DATE,DomesticAutoSales_ThousandsOfUnits,NonResConstructionSpending_Mil,NationalUnemploymentRate
1/1/2002,360.4,33545,6.3
2/1/2002,451.4,32868,6.1
3/1/2002,534.7,33956,6.1
4/1/2002,526.3,36496,5.7
5/1/2002,554.3,38325,5.5
6/1/2002,560.4,39273,6.0
7/1/2002,534.1,39983,5.9
8/1/2002,598.5,41101,5.7
9/1/2002,427.3,40460,5.4
10/1/2002,436.7,39484,5.3
11/1/2002,395,36792,5.6
12/1/2002,437.4,33632,5.7
1/1/2003,381.8,31083,6.5
2/1/2003,414.8,30511,6.4
3/1/2003,497.2,32330,6.2
4/1/2003,471.4,34899,5.8
5/1/2003,529.9,37304,5.8
6/1/2003,509.6,39969,6.5
7/1/2003,488.6,39923,6.3
8/1/2003,529.2,41520,6.0
9/1/2003,430.2,41995,5.8
10/1/2003,413.3,40336,5.6
11/1/2003,394.7,36385,5.6
12/1/2003,411.9,33991,5.4
1/1/2004,356.5,30822,6.3
2/1/2004,422.8,30688,6.0
3/1/2004,498.5,33843,6.0
4/1/2004,451.8,36089,5.4
5/1/2004,537.5,37759,5.3
6/1/2004,479.1,40687,5.8
7/1/2004,491.8,41549,5.7
8/1/2004,454.6,42738,5.4
9/1/2004,434.5,42688,5.1
10/1/2004,397.1,40751,5.1
11/1/2004,353.8,39406,5.2
12/1/2004,455.6,35928,5.1
1/1/2005,350,32874,5.7
2/1/2005,414.2,33266,5.8
3/1/2005,517.2,35829,5.4
4/1/2005,509.7,38125,4.9
5/1/2005,494.9,41125,4.9
6/1/2005,504.5,43738,5.2
7/1/2005,508.1,43850,5.2
8/1/2005,499.1,46076,4.9
9/1/2005,462.2,45853,4.8
10/1/2005,395.2,44240,4.6
11/1/2005,384.8,42409,4.8
12/1/2005,433.7,39245,4.6
1/1/2006,419.6,36383,5.1
2/1/2006,422.1,36734,5.1
3/1/2006,494.2,40162,4.8
4/1/2006,501.6,42512,4.5
5/1/2006,506.1,46297,4.4
